,EventId,Behaviour,Object,Outcome,Significance,ExternalId,Threat
0,1763716,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
1,1763717,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
2,1763718,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
3,1763719,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
4,1763720,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
5,1763721,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
6,1763722,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
7,1763723,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
8,1763724,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
9,1763725,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
10,1763726,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
11,1763727,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
12,1763728,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
13,1763729,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
14,1763730,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
15,1763731,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
16,1763732,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
17,1763733,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
18,1763734,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
19,1763735,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
20,1763736,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
21,1763737,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
22,1763738,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
23,1763739,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
24,1763740,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
25,1763741,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
26,1763742,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
27,1763743,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
28,1763744,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
29,1763745,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
30,1763746,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
31,1763747,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
32,1763748,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
33,1763749,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
34,1763750,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
35,1763751,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
36,1763752,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
37,1763753,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
38,1763754,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
39,1763755,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
40,1763756,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
41,1763757,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
42,1763758,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
43,1763759,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
44,1763760,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
45,1763761,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
46,1763762,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
47,1763763,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
48,1763764,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
49,1763765,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
50,1763766,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
51,1763767,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
52,1763768,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
53,1763769,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
54,1763770,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
55,1763771,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
56,1763772,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
57,1763773,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
58,1763774,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
59,1763775,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
60,1763776,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
61,1763777,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
62,1763778,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
63,1763779,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
64,1763780,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
65,1763781,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
66,1763782,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
67,1763783,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
68,1763784,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
69,1763785,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
70,1763786,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
71,1763787,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
72,1763788,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
73,1763789,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
74,1763790,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
75,1763791,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
76,1763792,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
77,1763793,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
78,1763794,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
79,1763795,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
80,1763796,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
81,1763797,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
82,1763798,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
83,1763799,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
84,1763800,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
85,1763801,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
86,1763802,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
87,1763803,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
88,1763804,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
89,1763805,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
90,1763806,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
91,1763807,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
92,1763808,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
93,1763809,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
94,1763810,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
95,1763811,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
96,1763812,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
97,1763813,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
98,1763814,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
99,1763815,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
100,1763816,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
101,1763817,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
102,1763818,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
103,1763819,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
104,1763820,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
105,1763821,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
106,1763822,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
107,1763823,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
108,1763824,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
109,1763825,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
110,1763826,/Communicate/Query,/Host/Application/Service,/Success,/Informational,5158,Low
